ID,建議之標題,建議資料集名稱,建議開放的欄位,建議原因,派發機關,回復狀態,分派狀態,回復時間,回應
39597,全國大專校院各校科系別畢業學生名錄,"全國大專校院各校科系別畢業學生名錄
",學校名稱、科系名稱、日間/進修別、等級別、學生姓名、性別、入學時間、畢業時間…,"民間應用所需：進行求職者學歷認證，以提升分析資料及求才企業媒合品質。
可能持有資料集之政府機關：教育部統計處
政府相關公開資料：政府資料開放平臺http://data.gov.tw/node/9961  &  教育部統計處http://depart.moe.edu.tw/ED4500/News_Content.aspx?n=5A930C32CC6C3818&sms=91B3AAE8C6388B96&s=159044407A762F30",教育部,已回復,已分派,"星期三, 十一月 23, 2016 - 10:27","[<p>感謝教育部回復。但貴部對個資法之認知恐怕有誤。<br/>
根據2013年9月：考選部認為，國家考試放榜公告全名與《個資法》不衝突，未來也不會改變公告全名的做法。<br/>
為何教育部校院畢業名單就有個資疑慮了?<br/>
敬請深入了解個資法之規定，不要隨便引用當作藉口，並且與政府其他單位作法同步。<br/>
然後將資料盡速開放釋出。</p>]",[<p>依個人資料保護法第5條之規定，個人資料之蒐集、處理或利用，應尊重當事人之權益，依誠實及信用方法為之，不得逾越特定目的之必要範圍，並應與蒐集之目的具有正當合理之關聯。民眾所提公開全國大專校院各校科系別畢業學生名錄，依前開規定，實不宜公開。  教育部 敬復</p>],"[<p>舉例而言，同樣的天氣資料，有的人想知道明天能不能打漁、有的人想知道後天能不能旅行、有的人想知道水庫如何管理、有的人想知道全球氣候暖化狀況。<br/>
資料開放出來，並非只有單一使用者在用，其他人各自有不同的用途，自然也會有符合您「蒐集之目的」的使用法。<br/>
若只因為今天舉例的使用法不符合主管機關「預期」，那麼中華民國又如何能希望民間藉由資料來發展官方沒想過的創新應用?<br/>
我想這不是一個不開放的理由，敬請重新評估。</p>]",[<p>為改善教育資源之配置效率，本部自103年與勞動部及財政部著手建立大專畢業生就業薪資分析機制，希藉由大數據方式掌握畢業生的就業流向與薪資水準。若將本資料提供進行求職者學歷認證，恐與蒐集之目的不相符，故仍建議向學校求證為宜。 教育部 敬復</p>],"[<p>關於您建議—全國大專校院各校科系別畢業學生名錄資料集，已請主管機關教育部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39596,全國大專校院各校科系別歷年科系名稱資料,"全國大專校院各校科系別歷年科系名稱
",學校名稱、105年科系名稱、104年科系名稱、103年科系名稱…,"民間應用所需：對於不同畢業時間之求職者提供校系正名對應系統；將歷年大專院校雜訊資料去除、正規化，提高分析結果品質。
1.針對不同就學時間的使用者，提供相對應的校系關鍵字推薦功能。
2. 提供大學網正確的校系現名資料，以利於各校資訊的即時同步。
3. 透過歷年校系名單之資料整合及串接，可省去大量人工對照資料與轉換的時間，以利於各項調查分析。

可能持有資料集之政府機關：教育部統計處
政府相關公開資料：政府資料開放平臺 http://data.gov.tw/node/6091  & 教育部統計處 http://depart.moe.edu.tw/ED4500/News_Content.aspx?n=63F5AB3D02A8BBAC&sms=1FF9979D10DBF9F3&s=F90792DD2350F3CC
",教育部,已回復,已分派,"星期三, 十一月 23, 2016 - 10:26","[<p>所詢對於不同畢業時間之求職者提供校系正名對應系統問題，說明如下：<br/>
一、目前教育部統計處公開之各學年大專校院各校系資訊，其中科、系、所、學位學程名稱，由各校承辦人員自行填列並加以認定，有關其異動情形，經洽詢北、中及南部部分歷史悠久之大學表示，要回溯整合及串接不同畢業時間之科系實有困難，主因學校各系承辦人員及相關主管更動頻繁，若遇整併、停招或裁撤之科系，已無人員可協助處理，於人力調配及行政作業上實有困難，故所提建議於推動上確有窒礙難行之處。<br/>
二、教育部為推動「高等教育校務資訊平臺整合」政策，自99學年起，各相關平臺均進行各校系名稱之統整，至105學年已整併完成，以正確反映各校系現名的最佳示例，且本部高教司每學年均將各校之系、科、所、學位學程資訊，公告於「大學校院一覽表」(https://ulist.moe.gov.tw)網站內，建請逕行下載參考。</p>, <p>教育部統計處 敬復</p>]","[<p>關於您建議—全國大專校院各校科系別歷年科系名稱資料資料集，已請主管機關教育部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39595,全國街道交通行車流量,"全國街道交通行車流量
",主要街道每日每時車輛行經數量、車種、方向,"民間應用所需：平台系統導入全國交通行車流量資料，提供企業進行市場定位及商圈分析評估。
可能持有資料集之政府機關: 交通部公路總局
政府相關公開資料: 交通部/交通服務e網通 http://e-iot.iot.gov.tw/""
",嘉義市政府,基隆市政府,宜蘭縣政府,屏東縣政府,"[<p>您好<br/>
目前本縣交通量調查統計以個別專案方式辦理，並為有效的運用有限的預算，乃經由專家學者進行多次會勘及專案會議後，編定轄區內道路交通量調查等，工作調查範圍包含本縣轄內選定道路地點交通量統計報告，尚無台端所提每日車輛行經數量、車種、方向等資料集。<br/>
祝  平安喜樂<br/>
雲林縣政府敬啟</p>]","[<p>有關民眾建議本縣主要街道交通行車流量資料，已公告於交通部公路總局網站內(http://www.thb.gov.tw/)中新聞與公告/統計資料/公路統計/公路交通量調查統計表(第三區)項下，以供民眾參考使用。<br/>
屏東縣政府 敬復</p>]","[<p>您好：<br/>
有關建議開放主要道路交通流量資料部分，本府已於宜蘭縣即時交通資訊網提供<br/>
交通量調查資料供民眾參閱，未來將不定期更新交通量資料。宜蘭縣政府　敬復</p>]","[<p>感謝澎湖縣政府的回應<br/>
但是民間想要的開放資料是指原始資料，而非統計後的一個數字<br/>
這樣才能進一步分析車流的周期性與高低點等等<br/>
請問是否可以提供原始資料，做成資料集開放釋出呢?</p>]",[<p>有關民眾建議全國街道交通行車流量資料集案，澎湖縣政府交通流量調查資料已交公路總局公告於該局網站（http://www.thb.gov.tw/）新聞及公告/統計資料/公路統計/公路交通量調查統計表（澎湖縣為三區縣道）。澎湖縣政府 敬復</p>],"[<p>關於您建議開放本市主要街道每日每時車輛行經數量、車種、方向，已建置於本市資料開放平台( http://data.tycg.gov.tw/)交通及通訊項下：<br/>
1.旅行時間偵測站 站間平均行駛車速<br/>
2.車輛偵測器 動態資料<br/>
如有使用需求，可自行至上開平台下載或介接使用，敬祝　順心如意 桃園市政府交通局 敬復。</p>]",[<p>目前本縣縣道、鄉道交通量資料係每年於特定期間、時段及地點位置所得之人工調查資料，資料龐雜、格式不一且未採開放資料格式，故目前尚無法置放於政府資料開放平台，若台端需相關資料可逕向本府工務處運輸管理科申請索取。倘有其他交通運輸問題，請電04-7532167工務處運輸管理科，本府同仁將竭誠提供服務。彰化縣政府 敬復</p>],[<p>您好！有關您建議全國街道交通行車流量資料集，針對本局轄管道路可以參考已開放資料集「省道車輛偵測器（VD）資料」網址：http://data.gov.tw/node/29817 交通部公路總局 敬復</p>],[<p>您好 關於您建議全國街道交通行車流量資料集，本縣已研擬建置交控中心，會將您的建議事項訥入未來交控中心之設置參考，針對主要街道每日、每時車輛行經數量、車種、方向經由車量偵測器收集數據整合，提供民眾參考使用。 感謝您對交通問題的關心及建言，祝您身體健康，萬事如意。臺東縣政府 敬復</p>],"[<p>關於您建議—全國街道交通行車流量資料集，將由嘉義市政府、基隆市政府、宜蘭縣政府、屏東縣政府、彰化縣政府、桃園市政府、澎湖縣政府、臺中市政府、臺東縣政府、花蓮縣政府、苗栗縣政府、雲林縣政府、臺南市政府接續研議辦理，相關辦理情形說明將請主管機關儘速回覆，敬候等待。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]","[<p>關於您建議—全國街道交通行車流量資料集，將由交通部接續研議辦理，相關辦理情形說明將請主管機關儘速回覆，敬候等待。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]","[<p>關於您建議—全國街道交通行車流量資料集，已請主管機關經濟部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39594,全國連鎖加盟種類分佈及數量,"全國連鎖加盟種類分佈及數量
",產業別、加盟服務類型、分佈地點、各類家數及座標,"民間應用所需：平台系統導入全國各連鎖加盟資料，提供企業進行投資評估、競爭分析等事宜。
可能持有資料集之政府機關: 經濟部商業司
政府相關公開資料: 全國商工行政服務網http://gcis.nat.gov.tw/mainNew/index.jsp",經濟部,已回復,已分派,"星期三, 十一月 23, 2016 - 10:26","[<p>您好，<br/>
由於連鎖加盟業之行業多樣、規模大小不一且分佈範圍極廣，必須耗費大量人力與財力調查；此外連鎖加盟產業發展呈現多元、業態變化快速，且市場高度競爭下，<br/>
業者分店之開店關店速度，隨商機快速調整變更，定期的調查（如1年期）無法呈現完整且正確資料；本部係以連鎖加盟總部作為輔導對象，並未針對連鎖加盟細部<br/>
統計進行調查，是以目前尚無所述資料可提供。</p>, <p>商業司敬復</p>]","[<p>關於您建議—全國連鎖加盟種類分佈及數量資料集，已請主管機關經濟部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39593,全國商圈名錄及租金費用,"全國商圈名錄及租金費用
",地點、商圈名、商圈類別特色、店家數、綜合產值、人流數量、商圈年度特色活動、租金,"民間應用所需：平台系統導入全國各商圈名錄資料，提供企業評估商圈類型、客群及是否設點。
可能持有資料集之政府機關: 經濟部商業司
政府相關公開資料: 全國商工行政服務網 http://gcis.nat.gov.tw/mainNew/index.jsp",經濟部,已回復,已分派,"星期三, 十一月 23, 2016 - 10:26","[<p>您好：<br/>
有關您於本（105）年11月23日致政府資料開放平臺(data.gov.tw)詢問提供「全國商圈名錄及租金費用」等資訊一案，說明如下：<br/>
有關商圈綜合產值、人流數量、租金等資訊係為浮動資料且涉及地方商圈商業行為，爰尚無蒐集、統計相關資訊。至有關商圈類別特色、店家數、商圈年度特色活動可逕向縣市政府權管機關或網站查詢。（例如臺北市商圈列表及介紹、相關整合行銷及商圈營造活動等資訊，可至臺北市商業處網站查詢http://www.tcooc.gov.taipei/lp.asp?ctNode=31554&amp;CtUnit=17917&amp;BaseDSD=7&amp;mp=105011）。如有其他需求或疑問，歡迎來電（02）2368-0816分機229林小姐。</p>, <p>敬祝<br/>
事事如意、闔第安康<br/>
                            經濟部中小企業處 敬啟</p>]","[<p>關於您建議—全國商圈名錄及租金費用資料集，已請主管機關經濟部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39592,歷年政府機關公開採購案，招標文件之「需求說明書」(Request for Proposal),"歷年政府機關公開採購案，招標文件之「需求說明書」(Request for Proposal)
",結構化全文,"民間應用：透過資料探勘，分析政府採購需求之差異性，進而制定企業策略
可能持有資料集之政府機關: 行政院公共工程委員會
",行政院公共工程委員會,已回復,已分派,"星期三, 十一月 23, 2016 - 10:25","[<p>您好：<br/>
有關建議本會政府電子採購網（下稱採購網）提供「歷年政府機關公開採購案，招標文件之『需求說明書』乙節，本會說明如下：<br/>
一、	查本會採購網已提供「歷史招標文件線上瀏覽」功能，惟由於全國各機關所有採購一年份之招標文件電子檔所需儲存容量已非常龐大，本會目前僅提供近1年招標文件電子檔之線上存取。<br/>
二、	您如欲查詢前揭招標文件，可由採購網首頁（http://web.pcc.gov.tw）左選單點選「常用查詢&gt;歷史文件瀏覽」，並於登載機關名稱或標案名稱等資訊後，查詢逾截止投標時間且公告日期距查詢日期1年內之歷史招標文件計次付費線上瀏覽，每次收取費用20元。如有操作問題，請洽採購網免費客服專線0800-080512。<br/>
三、本案如需進一步說明，惠請電洽本案聯絡人徐設計師，電話：02-87897639，本會承辦人員將為您說明。</p>]","[<p>關於您建議—歷年政府機關公開採購案，招標文件之「需求說明書」(Request for Proposal)資料集，已請主管機關行政院公共工程委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39590,平均每戶家庭收支按區域別分,"平均每戶家庭收支按區域別分
說明:由於該資料集僅有「縣市」維度之資料，可否協助開放資料至「鄉鎮區域」/「行政區」維度之資料
",1.家戶平均消費支出2.可支配之所得3.消費支出種類之平均消費情形4.儲蓄,"民間應用需求：瞭解各鄉鎮區域之平均消費支出之金額，以及各消費類別金額之比重等等資訊，可更有效地協助金融業者、零售業者等等產業規劃分行之產品銷售種類、行銷活動的類型以及評估市場發展潛力。
可能持有資料集之政府機關: 行政院主計處
政府相關公開資料: 行政院主計處地方統計推展中心家庭收支科http://win.dgbas.gov.tw/fies/214.asp
",行政院主計總處,已回復,已分派,"星期三, 十一月 23, 2016 - 10:25",[<p>本總處家庭收支調查發布之各項收入統計，最小統計單位為縣市別，且因部分縣市樣本數較少，使用時須考量樣本代表性，並無鄉鎮區域之分類資料。行政院主計總處 敬啟</p>],"[<p>關於您建議—平均每戶家庭收支按區域別分資料集，已請主管機關行政院主計總處研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39589,103年度綜合所得稅申報核定統計專冊,"103年度綜合所得稅申報核定統計專冊(目前僅有102年資料)
",1.鄉鎮區家戶平均所得2. 鄉鎮區家戶平均所得成長率,"產業與民間應用：根據臺灣各鄉鎮區域不同的家戶所得評估市場消費與發展潛力，協助金融業者規劃金融產品銷售種類與分行業務定位、營運方向。
可能持有資料集之政府機關: 財政部
政府相關公開資料: 財政部財政資訊中心http://www.fia.gov.tw/ct.asp?xItem=3416&ctNode=668&mp=1
",財政部,已回復,已分派,"星期三, 十一月 23, 2016 - 10:25","[<p>1.有關鄉鎮區家戶平均所得，在「綜合所得稅申報核定統計專冊統計表」中「綜稅所得總額各縣市鄉鎮村里統計分析表」表165-A~表165-Z中合計列平均數欄位已提供。<br/>
2.鄉鎮區家戶平均所得成長率可由前項平均數推導出。<br/>
財政部  敬復</p>]","[<p>關於您建議—103年度綜合所得稅申報核定統計專冊資料集，已請主管機關財政部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39587,台北市食材登錄平台,"台北市食材登錄資料
",食材種類、食材來源、份數代換、各類營養素含量及標示,"企業應用可產生效益：目前登錄採廠商自主管理，完整性有待加強•缺乏營養素分析資料。以上資料若升級則可有效協助國人營養狀況評估，並協助其他健康促進策略推廣。
可能持有資料集之政府機關: 台北市衛生局
政府相關公開資料:台北市政府衛生局http://foodtracer.taipei.gov.tw/
",本平臺營運窗口,已回復,已分派,"星期三, 十一月 23, 2016 - 10:25","[<p>您好：<br/>
一、臺北市食材登錄平台屬透明公開資訊，可供民眾檢索並查覽相關食材資訊，另104年起已陸續將食材登錄平台資料公開於臺北市政府資料開放平台（http://data.taipei/），開放項目有公司名稱、包裝成分、食材類別及產地、營養成分等欄位資料，提供市民瀏覽及學術單位或研究者分析使用。<br/>
二、感謝您對食品資訊公開的關心，本局將陸續公告類別或規模之食品業者，應建立食品來源與流向之追蹤（溯）系統及生產履歷等事項，並應加入本市食材登錄平台，公開食材來源，並提供消費者安心的消費環境。<br/>
三、承辦人：楊舒涵，聯絡電話：1999(外縣市02-27208889)轉7089。<br/>
謝謝您來信與指教，並祝您健康愉快<br/>
臺北市政府衛生局敬上</p>]","[<p>關於您建議—台北市食材登錄平台資料集，已請主管機關本平臺營運窗口研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39586,台灣土壤資源農地土地覆蓋資料系統,"台灣土壤資源農地土地覆蓋資料系統
",台灣土壤調查成果、土壤圖資,"產業應用可產生效益：協助農民和通路適進行農地耕種評估與應用發展。
可能持有資料集之政府機關: 行政院農委會農試所
政府相關公開資料: http://soilsurvey.tari.gov.tw/SOA/index.aspx


",行政院農業委員會,已回復,已分派,"星期三, 十一月 23, 2016 - 10:24","[<p>您好<br/>
有關您建議本所將""台灣土壤資源與農地土地覆蓋圖資瀏覽查詢系統""之""台灣土壤調查成果""及""土壤圖資""進行開放乙案，本所答覆如下。<br/>
1.""土壤圖資""項目包含土壤圖、詳測土壤圖、土壤管理組圖等三項，已有開放wms圖資供大眾介接(介接位址URL：http://soilsurvey.tari.gov.tw/SOA_WMS/SimpleWMS.aspx)shp圖檔已有於政府資料開放平台網站進行開放，SHP圖資下載頁面網址如下：<br/>
A.土壤圖： http://data.coa.gov.tw/Query/ServiceDetail.aspx?id=159<br/>
B.土壤管理組圖：http://data.coa.gov.tw/Query/ServiceDetail.aspx?id=152<br/>
2.""台灣土壤調查成果""為新的調查成果還未完整處理，目前只開放wms圖資供大眾介接(介接位址URL：http://soilsurvey.tari.gov.tw/SOA_WMS/SimpleWMS.aspx<br/>
另外建議：若需進行產業應用，協助農民和通路適進行農地耕種評估與應用發展，建議使用農業試驗所小農農場經營管理系統網址(http://farmcloud.tari.gov.tw/FarmerWeb/)、歷史氣候、氣候預警…等相關資訊，請參考。<br/>
感謝您對政府開放資料支持!!</p>]","[<p>您好<br/>
           有關您建議提供台灣土壤資源農地土地覆蓋資料系統資料集，本會已轉知業務機關農業試驗所，<br/>
           相關處理情形將盡速給予回覆，感謝您對政府資料開放支持!!!</p>]","[<p>關於您建議—台灣土壤資源農地土地覆蓋資料系統資料集，已請主管機關行政院農業委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39585,旅行平安險,"旅行平安險
",何時購買、保額、金額、區域、年齡、天數、旅險期間增加天數、理賠因素、金額、是產險或壽險,"企業應用於國人旅遊風險保障評估。主要提供旅遊規劃平台，告知旅客保障
可能持有資料集之政府機關：金融監督管理委員會/保險局
政府相關公開資料(非開放，資料或網站名稱/關鍵資料欄位)：金融監督管理委員會http://www.ib.gov.tw/ch/

",金融監督管理委員會,已回復,已分派,"星期三, 十一月 23, 2016 - 10:24","[<p>感謝回覆<br/>
1.感謝對加值服務須付費部分與未蒐集資料既的說明。此部分當然不需開放。<br/>
2.既然平台上可以查詢，自然沒有隱私或機密的問題，而且資料也已經現成，是否可將網站上可以查詢之全部資料，以開放資料的方式將整個資料集釋出?</p>]","[<p>關於您建議—旅行平安險資料集，已請主管機關金融監督管理委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]",[<p>有關您所提開放旅行平安險相關資料乙案，本會刻正洽詢相關單位意見中，將於研議後儘速回復，謝謝您的留言。</p>],[<p>有關台端建議開放旅行平安險相關資料乙案，查財團法人保險事業發展中心(下稱保發中心)網站上已提供一般民眾有關產險業賠款資料查詢(精算統計/產險互動式統計查詢平台／產險業傷害險／產險業傷害保險年度賠款率查詢(http://pivot.tii.org.tw/lifesta/DQPFrame1.htm))，至保額(投保金額)、金額(保費)、年齡、天數、理賠因素(事故原因)、金額(理賠金額)等項，屬保發中心提供之加值服務項目(目前並未蒐集何時購買、區域、旅險期間增加天數等資料)，需付費使用；如台端有需要者，可逕向保發中心洽詢(23972227轉211吳小姐(產險)、轉511吳小姐(壽險))</p>]
39514,敬啟開放過去六十天每日上市及上櫃之券商買賣資料,過去六十天每日上市及上櫃之券商買賣資料 (即過去六十天歷史資料),如同現行公開資訊之欄位即可 http://bsr.twse.com.tw/bshtm/ & http://www.tpex.org.tw/web/stock/aftertrading/broker_trading/brokerBS.php,可以有比較多的脈絡資料做投資交易參考,金融監督管理委員會,已回復,已分派,"星期六, 十一月 19, 2016 - 23:23","[<p>目前證交所、櫃買中心已開放查詢當天的券商買賣資料，為何昨天、前天的資料就不可開放查詢 ?</p>, <p>證交所及櫃買中心販售的資料價格分別為每月 8 萬元及 5 萬元，亦即一個月的資料費共 13 萬元。<br/>
對機構法人或股市大戶此費用並無問題，但對眾多小散戶卻無法負擔，這並不公平。</p>]","[<p>關於您建議—敬啟開放過去六十天每日上市及上櫃之券商買賣資料資料集，已請主管機關金融監督管理委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]","[<p>上櫃股票券商買賣資料係櫃買中心販售之資料，不宜提供。<br/>
若投資人有需要，可逕至櫃買中心網站資訊購買專區洽詢購買，網址如下:<br/>
httpx://www.tpex.org.tw/web/service/info_service/off_market_info.php?l=zh-tw</p>]","[<p>上市股票券商買賣資料係證交所販售之資料，不宜提供。<br/>
若投資人有需要，可逕至網路資訊商店洽詢購買，網址如下:<br/>
http://dataeshop.twse.com.tw/</p>]"
39513,中壢龍岡地區歷年都市計畫書圖,"自72年起至今 中壢龍岡地區相關都市計畫書圖
中壢龍岡地區都市計畫(包含中壢市埔頂、平鎮鄉社子暨八德鄉霄裡地區)案 都市計畫書圖
至今所製作之都市計畫書圖",全部檔案,都市計畫書圖為法定公展資訊,桃園市政府,已回復,已分派,"星期六, 十一月 19, 2016 - 23:22",[<p>親愛的民眾您好，桃園市政府都市發展局已將桃園市各都市計畫歷次發布實施及都市計畫等資訊建置於桃園市都市計畫地理資訊服務網（http://upgis.tycg.gov.tw/upgis），有關都市計畫相關問題得於上開網站中查詢，謝謝您的建議。</p>],"[<p>關於您建議—中壢龍岡地區歷年都市計畫書圖資料集，已請主管機關桃園市政府研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39354,青年教育與就業儲蓄帳戶計畫及其子計畫會議紀錄公開,"1. 青年教育與就業儲蓄帳戶計畫各項會議紀錄
2. 青年就業領航計畫各項會議紀錄
3. 青年體驗學習計畫各項會議紀錄",會議紀錄全文、錄音檔,"青年教育與就業儲蓄帳戶計畫及其子計畫，為政府大力推動之政策，
但其政策制定過程的會議紀錄，及其他相關政策制定過程之資料皆未公開於網站上
請教育部公開相關資料
以利人民了解，該政策推動的意義及政策制定過程",教育部,已回復,已分派,"星期五, 十一月 18, 2016 - 11:34",[<p>關於您建議—青年教育與就業儲蓄帳戶計畫及其子計畫會議紀錄公開資料集，有關您欲瞭解青年教育與就業儲蓄帳戶方案及其子計畫，該政策推動的意義請上專區網站(網址:http://www.edu.tw/1013/)瞭解。至於相關會議紀錄全文、錄音檔音係為討論階段草案，且非正式推動方案，則不予公開。謝謝您的寶貴意見。 教育部 敬復</p>],"[<p>關於您建議—青年教育與就業儲蓄帳戶計畫及其子計畫會議紀錄公開資料集，已請主管機關教育部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39343,學生流向，與地點及其待遇之相對關係,各大專院校之學生流向，及其待遇,過去15年各大專院校之個別學生對應之戶籍地、科系別，畢業後15年分別之就業地、行業別、公司名稱、職稱、對應薪資（不含加班等之固定薪資）,想了解各地之學生求學地，與畢業後工作地點、行業之流向，和地域、行業、薪資之對應關係,教育部,已回復,已分派,"星期三, 十一月 16, 2016 - 10:24","[<p>關於您建議—學生流向，與地點及其待遇之相對關係資料集，本部目前僅針對畢業後5年內之大專校院畢業生做就業薪資巨量分析，無法提供過去15年及畢業後15年之相關資料,且為保障個人資料, 無法提供個別學生對應之戶籍地、科系別, 另本部並未蒐集畢業生就業地、職稱之資料,無法呈現,所提對應薪資（不含加班等之固定薪資）因資料來源為財政資訊中心,無法辨別出固定薪資,故所呈現之資料為含加班.年終獎金等數據。謝謝您的寶貴意見。 教育部 敬復</p>]","[<p>關於您建議—學生流向，與地點及其待遇之相對關係資料集，已請主管機關教育部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
39328,信用卡代繳資料,各地區、性別持卡人代繳公營事業(台電、自來水...等等)筆數以及金額,"年月,地區,性別,公營事業單位 or 公辦民營,總代繳筆數,總代繳金額",承辦人您好：目前因為需要研究一些台灣地區信用卡持卡人的一些消費行為，欲了解在不同地區以及性別，在對於公營事業(台電、台水...等等)代扣部分 or 一些代扣資料例如(電話費、天然氣..等等)。可以分析台灣地區信凱消費輪廓。謝謝,金融監督管理委員會,已回復,已分派,"星期三, 十一月 16, 2016 - 10:26","[<p>關於您建議—信用卡代繳資料資料集，已請主管機關金融監督管理委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]",[<p>聯合信用卡處理中心之公開資料係收集所有信用卡消費資料後並經去識別化處理後予以公開，並已依各信用卡國際組織制定的近千筆Merchant Category Code (MCC)依產業屬性彙整為六大行業類別(即食品餐飲類、服飾類、住宿類、交通類、文教康樂類、百貨類等)，結合各性別、年齡層等持卡人特徵資料於全台灣之消費樣態。針對您建議開放之公用事業代扣繳消費，依現行國際組織制定的MCC將繳納水、電、瓦斯皆歸為同一類別，本中心無法區分該些費用，若未來各國際組織重新議定MCC分類，聯卡中心將研擬規劃新增此開放資料。</p>]
39074,全國動物醫院名冊,全台合法動物醫院名冊,"醫院名稱
電話
郵遞區號
地址
是否為政府合作之狂犬病預防注射動物醫院
是否為24小時急診動物醫院","希望合法動物醫院名冊能補齊到全台，不要只有台中,新北,雲林...",行政院農業委員會,已回復,已分派,"星期一, 十一月 14, 2016 - 10:28","[<p>Hello 您好<br/>
                   有關您詢問全國動物醫院名冊資料集事宜，依據法令獸醫診療機構之開業，應依規定，向所在地直轄市或縣(市)主管機關申請核准登記，發給開業執照，<br/>
                   本會於103年8月開放獸醫師開業執照資料集供民眾加值運用，建議您運用上述資料，此外因收集各縣市之資料欄位時並未包括:是否為狂犬病預防注射動物醫院?<br/>
                   是否為24小時急診之資料?敬請見諒!!!感謝您對政府資料開放支持!!</p>]","[<p>關於您建議—全國動物醫院名冊資料集，已請主管機關行政院農業委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
38956,104年全國各縣市舉發交通違規態樣與件數統計,104年全國各縣市舉發交通違規態樣與件數統計,建請 提供104年全國各縣市舉發各類型交通違規態樣與件數統計,為了解全國各縣市所舉發之交通違規態樣與舉發件數，以了解目前民眾經常違規的情形，故 建請 提供104年全國各縣市舉發各類型交通違規態樣與件數統計,內政部,已回復,已分派,"星期四, 十一月 10, 2016 - 10:36","[<p>您好，有關業務單位的回復如下：<br/>
近期內將提供「舉發違反道路交通管理事件成果統計表」（內含104年全國各縣市舉發交通違規態樣與件數統計）至政府資料開放平臺。<br/>
內政部警政署謹復</p>]","[<p>關於您建議—104年全國各縣市舉發交通違規態樣與件數統計資料集，已請主管機關內政部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
38898,建議開放商業公司歷史紀錄,商業公司歷史紀錄,商業公司之股東、股權數、資本額、負責人變動歷史紀錄,有股東、股權、資本額、負責人變動歷史紀錄，可追蹤台灣各個公司、產業的消長。,經濟部,已回復,已分派,"星期四, 十一月 10, 2016 - 10:32","[<p>林先生，</p>, <p>關於所提之需求，茲回覆如下：</p>, <p>目前商工開放資料均是依公司法及商業登記法所規定可公示之資料，故您所提出之需求僅有「資本額」欄位有開放，<br/>
另「股東」、「股權數」、「負責人變動歷史紀錄」均非為可公示資訊，現階段尚無法開放。</p>, <p>又目前公司法正處於修法階段，已朝更開放之方向進行，預期未來法規鬆綁且於法令通過後，將可開放更多相關公司及商業資訊。<br/>
屆時本司將配合依法可公示之資料評估開放時程。</p>, <p>商業司敬復</p>]","[<p>關於您建議—建議開放商業公司歷史紀錄資料集，已請主管機關經濟部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
